illumination,Date,Text1
80.55% Visible,Moon phase details at 12 February 2012,"364,690.07 km"
70.61% Visible,Moon phase details at 13 February 2012,"363,473.49 km"
59.65% Visible,Moon phase details at 14 February 2012,"363,416.73 km"
48.28% Visible,Moon phase details at 15 February 2012,"364,515.59 km"
37.11% Visible,Moon phase details at 16 February 2012,"366,697.55 km"
26.71% Visible,Moon phase details at 17 February 2012,"369,827.99 km"
17.56% Visible,Moon phase details at 18 February 2012,"373,720.21 km"
10.08% Visible,Moon phase details at 19 February 2012,"378,148.97 km"
4.57% Visible,Moon phase details at 20 February 2012,"382,866.48 km"
1.2% Visible,Moon phase details at 21 February 2012,"387,619.49 km"
0% Visible,Moon phase details at 22 February 2012,"392,165.58 km"
0.92% Visible,Moon phase details at 23 February 2012,"396,286.65 km"
3.78% Visible,Moon phase details at 24 February 2012,"399,798.07 km"
8.37% Visible,Moon phase details at 25 February 2012,"402,553.05 km"
14.43% Visible,Moon phase details at 26 February 2012,"404,442.82 km"
21.72% Visible,Moon phase details at 27 February 2012,"405,394.24 km"
29.97% Visible,Moon phase details at 28 February 2012,"405,367.06 km"
38.93% Visible,Moon phase details at 29 February 2012,"404,352.84 km"
48.34% Visible,Moon phase details at 1 March 2012,"402,376.54 km"
57.94% Visible,Moon phase details at 2 March 2012,"399,501.13 km"
67.45% Visible,Moon phase details at 3 March 2012,"395,833.35 km"
76.53% Visible,Moon phase details at 4 March 2012,"391,528.49 km"
84.77% Visible,Moon phase details at 5 March 2012,"386,790.89 km"
91.7% Visible,Moon phase details at 6 March 2012,"381,867.84 km"
96.81% Visible,Moon phase details at 7 March 2012,"377,035.94 km"
99.6% Visible,Moon phase details at 8 March 2012,"372,581.15 km"
99.7% Visible,Moon phase details at 9 March 2012,"368,775.28 km"
96.95% Visible,Moon phase details at 10 March 2012,"365,852.96 km"
91.48% Visible,Moon phase details at 11 March 2012,"363,992.14 km"
83.66% Visible,Moon phase details at 12 March 2012,"363,300.73 km"
74.05% Visible,Moon phase details at 13 March 2012,"363,809.95 km"
63.33% Visible,Moon phase details at 14 March 2012,"365,474.45 km"
52.14% Visible,Moon phase details at 15 March 2012,"368,178.36 km"
41.08% Visible,Moon phase details at 16 March 2012,"371,746.34 km"
30.68% Visible,Moon phase details at 17 March 2012,"375,958.58 km"
21.36% Visible,Moon phase details at 18 March 2012,"380,568.33 km"
13.48% Visible,Moon phase details at 19 March 2012,"385,320.25 km"
7.28% Visible,Moon phase details at 20 March 2012,"389,967.55 km"
2.93% Visible,Moon phase details at 21 March 2012,"394,286.11 km"
0.53% Visible,Moon phase details at 22 March 2012,"398,084.01 km"
0.06% Visible,Moon phase details at 23 March 2012,"401,206.10 km"
1.49% Visible,Moon phase details at 24 March 2012,"403,534.24 km"
4.68% Visible,Moon phase details at 25 March 2012,"404,984.53 km"
9.49% Visible,Moon phase details at 26 March 2012,"405,503.66 km"
15.73% Visible,Moon phase details at 27 March 2012,"405,066.29 km"
23.2% Visible,Moon phase details at 28 March 2012,"403,675.04 km"
31.67% Visible,Moon phase details at 29 March 2012,"401,363.70 km"
40.93% Visible,Moon phase details at 30 March 2012,"398,203.10 km"
50.7% Visible,Moon phase details at 31 March 2012,"394,307.98 km"
60.71% Visible,Moon phase details at 1 April 2012,"389,842.05 km"
70.59% Visible,Moon phase details at 2 April 2012,"385,018.41 km"
79.9% Visible,Moon phase details at 3 April 2012,"380,092.69 km"
88.08% Visible,Moon phase details at 4 April 2012,"375,348.42 km"
94.54% Visible,Moon phase details at 5 April 2012,"371,075.62 km"
98.67% Visible,Moon phase details at 6 April 2012,"367,545.91 km"
100% Visible,Moon phase details at 7 April 2012,"364,987.92 km"
98.3% Visible,Moon phase details at 8 April 2012,"363,566.71 km"
93.67% Visible,Moon phase details at 9 April 2012,"363,369.77 km"
86.51% Visible,Moon phase details at 10 April 2012,"364,400.67 km"
77.44% Visible,Moon phase details at 11 April 2012,"366,580.66 km"
67.14% Visible,Moon phase details at 12 April 2012,"369,757.46 km"
56.29% Visible,Moon phase details at 13 April 2012,"373,720.16 km"
45.46% Visible,Moon phase details at 14 April 2012,"378,218.59 km"
35.14% Visible,Moon phase details at 15 April 2012,"382,984.79 km"
25.7% Visible,Moon phase details at 16 April 2012,"387,754.05 km"
17.45% Visible,Moon phase details at 17 April 2012,"392,282.71 km"
10.62% Visible,Moon phase details at 18 April 2012,"396,360.83 km"
5.39% Visible,Moon phase details at 19 April 2012,"399,818.61 km"
1.88% Visible,Moon phase details at 20 April 2012,"402,527.32 km"
0.18% Visible,Moon phase details at 21 April 2012,"404,395.96 km"
0.29% Visible,Moon phase details at 22 April 2012,"405,366.11 km"
2.19% Visible,Moon phase details at 23 April 2012,"405,407.18 km"
5.81% Visible,Moon phase details at 24 April 2012,"404,513.69 km"
11.04% Visible,Moon phase details at 25 April 2012,"402,705.89 km"
17.72% Visible,Moon phase details at 26 April 2012,"400,033.57 km"
25.69% Visible,Moon phase details at 27 April 2012,"396,582.14 km"
34.72% Visible,Moon phase details at 28 April 2012,"392,479.09 km"
44.57% Visible,Moon phase details at 29 April 2012,"387,898.14 km"
54.93% Visible,Moon phase details at 30 April 2012,"383,058.43 km"
65.41% Visible,Moon phase details at 1 May 2012,"378,216.96 km"
75.53% Visible,Moon phase details at 2 May 2012,"373,653.59 km"
84.69% Visible,Moon phase details at 3 May 2012,"369,650.15 km"
92.22% Visible,Moon phase details at 4 May 2012,"366,466.32 km"
97.46% Visible,Moon phase details at 5 May 2012,"364,315.76 km"
99.87% Visible,Moon phase details at 6 May 2012,"363,346.03 km"
99.2% Visible,Moon phase details at 7 May 2012,"363,624.47 km"
95.5% Visible,Moon phase details at 8 May 2012,"365,131.84 km"
89.19% Visible,Moon phase details at 9 May 2012,"367,764.10 km"
80.87% Visible,Moon phase details at 10 May 2012,"371,342.28 km"
71.21% Visible,Moon phase details at 11 May 2012,"375,629.49 km"
60.86% Visible,Moon phase details at 12 May 2012,"380,353.02 km"
50.38% Visible,Moon phase details at 13 May 2012,"385,228.82 km"
40.19% Visible,Moon phase details at 14 May 2012,"389,984.63 km"
30.66% Visible,Moon phase details at 15 May 2012,"394,378.60 km"
22.05% Visible,Moon phase details at 16 May 2012,"398,211.06 km"
14.62% Visible,Moon phase details at 17 May 2012,"401,328.99 km"
8.55% Visible,Moon phase details at 18 May 2012,"403,624.23 km"
4% Visible,Moon phase details at 19 May 2012,"405,028.08 km"
1.13% Visible,Moon phase details at 20 May 2012,"405,504.58 km"
0.01% Visible,Moon phase details at 21 May 2012,"405,045.32 km"
0.71% Visible,Moon phase details at 22 May 2012,"403,666.93 km"
3.23% Visible,Moon phase details at 23 May 2012,"401,412.05 km"
7.52% Visible,Moon phase details at 24 May 2012,"398,353.08 km"
13.5% Visible,Moon phase details at 25 May 2012,"394,597.45 km"
21% Visible,Moon phase details at 26 May 2012,"390,292.20 km"
29.84% Visible,Moon phase details at 27 May 2012,"385,625.68 km"
39.74% Visible,Moon phase details at 28 May 2012,"380,824.34 km"
50.36% Visible,Moon phase details at 29 May 2012,"376,143.45 km"
61.28% Visible,Moon phase details at 30 May 2012,"371,851.95 km"
71.97% Visible,Moon phase details at 31 May 2012,"368,212.86 km"
81.81% Visible,Moon phase details at 1 June 2012,"365,461.69 km"
90.1% Visible,Moon phase details at 2 June 2012,"363,785.47 km"
96.16% Visible,Moon phase details at 3 June 2012,"363,305.10 km"
99.47% Visible,Moon phase details at 4 June 2012,"364,062.98 km"
99.74% Visible,Moon phase details at 5 June 2012,"366,017.27 km"
97.04% Visible,Moon phase details at 6 June 2012,"369,043.85 km"
