illumination,Date,Text1
0.62% Visible,Moon phase details at 24 October 1984,"364,096.71 km"
0.2% Visible,Moon phase details at 25 October 1984,"366,075.67 km"
2.72% Visible,Moon phase details at 26 October 1984,"369,120.70 km"
7.87% Visible,Moon phase details at 27 October 1984,"373,034.80 km"
15.09% Visible,Moon phase details at 28 October 1984,"377,566.54 km"
23.77% Visible,Moon phase details at 29 October 1984,"382,432.74 km"
33.34% Visible,Moon phase details at 30 October 1984,"387,343.70 km"
43.29% Visible,Moon phase details at 31 October 1984,"392,026.86 km"
53.21% Visible,Moon phase details at 1 November 1984,"396,245.28 km"
62.79% Visible,Moon phase details at 2 November 1984,"399,808.73 km"
71.75% Visible,Moon phase details at 3 November 1984,"402,576.87 km"
79.84% Visible,Moon phase details at 4 November 1984,"404,456.45 km"
86.85% Visible,Moon phase details at 5 November 1984,"405,394.96 km"
92.55% Visible,Moon phase details at 6 November 1984,"405,374.00 km"
96.75% Visible,Moon phase details at 7 November 1984,"404,404.57 km"
99.28% Visible,Moon phase details at 8 November 1984,"402,525.38 km"
99.98% Visible,Moon phase details at 9 November 1984,"399,804.22 km"
98.77% Visible,Moon phase details at 10 November 1984,"396,341.27 km"
95.61% Visible,Moon phase details at 11 November 1984,"392,272.52 km"
90.52% Visible,Moon phase details at 12 November 1984,"387,771.20 km"
83.63% Visible,Moon phase details at 13 November 1984,"383,045.62 km"
75.14% Visible,Moon phase details at 14 November 1984,"378,332.07 km"
65.34% Visible,Moon phase details at 15 November 1984,"373,882.99 km"
54.62% Visible,Moon phase details at 16 November 1984,"369,951.24 km"
43.44% Visible,Moon phase details at 17 November 1984,"366,772.21 km"
32.36% Visible,Moon phase details at 18 November 1984,"364,545.82 km"
22.01% Visible,Moon phase details at 19 November 1984,"363,420.10 km"
13.04% Visible,Moon phase details at 20 November 1984,"363,478.14 km"
6.08% Visible,Moon phase details at 21 November 1984,"364,729.36 km"
1.65% Visible,Moon phase details at 22 November 1984,"367,106.22 km"
0.01% Visible,Moon phase details at 23 November 1984,"370,467.12 km"
1.17% Visible,Moon phase details at 24 November 1984,"374,606.22 km"
4.87% Visible,Moon phase details at 25 November 1984,"379,269.64 km"
10.7% Visible,Moon phase details at 26 November 1984,"384,176.77 km"
18.14% Visible,Moon phase details at 27 November 1984,"389,043.88 km"
26.71% Visible,Moon phase details at 28 November 1984,"393,606.27 km"
35.96% Visible,Moon phase details at 29 November 1984,"397,635.51 km"
45.52% Visible,Moon phase details at 30 November 1984,"400,949.68 km"
55.06% Visible,Moon phase details at 1 December 1984,"403,416.13 km"
64.33% Visible,Moon phase details at 2 December 1984,"404,948.85 km"
73.05% Visible,Moon phase details at 3 December 1984,"405,502.87 km"
80.99% Visible,Moon phase details at 4 December 1984,"405,068.88 km"
87.87% Visible,Moon phase details at 5 December 1984,"403,670.00 km"
93.45% Visible,Moon phase details at 6 December 1984,"401,361.58 km"
97.46% Visible,Moon phase details at 7 December 1984,"398,233.25 km"
99.65% Visible,Moon phase details at 8 December 1984,"394,411.83 km"
99.81% Visible,Moon phase details at 9 December 1984,"390,062.66 km"
97.83% Visible,Moon phase details at 10 December 1984,"385,387.56 km"
93.65% Visible,Moon phase details at 11 December 1984,"380,618.12 km"
87.38% Visible,Moon phase details at 12 December 1984,"376,004.16 km"
79.22% Visible,Moon phase details at 13 December 1984,"371,798.65 km"
69.54% Visible,Moon phase details at 14 December 1984,"368,240.70 km"
58.78% Visible,Moon phase details at 15 December 1984,"365,538.80 km"
47.46% Visible,Moon phase details at 16 December 1984,"363,855.89 km"
36.18% Visible,Moon phase details at 17 December 1984,"363,297.61 km"
25.54% Visible,Moon phase details at 18 December 1984,"363,904.13 km"
16.16% Visible,Moon phase details at 19 December 1984,"365,646.19 km"
8.59% Visible,Moon phase details at 20 December 1984,"368,425.61 km"
3.27% Visible,Moon phase details at 21 December 1984,"372,080.72 km"
0.46% Visible,Moon phase details at 22 December 1984,"376,397.13 km"
0.2% Visible,Moon phase details at 23 December 1984,"381,123.24 km"
2.35% Visible,Moon phase details at 24 December 1984,"385,989.43 km"
6.61% Visible,Moon phase details at 25 December 1984,"390,728.50 km"
12.61% Visible,Moon phase details at 26 December 1984,"395,094.22 km"
19.97% Visible,Moon phase details at 27 December 1984,"398,875.51 km"
28.3% Visible,Moon phase details at 28 December 1984,"401,904.45 km"
37.28% Visible,Moon phase details at 29 December 1984,"404,058.27 km"
46.61% Visible,Moon phase details at 30 December 1984,"405,257.10 km"
56.01% Visible,Moon phase details at 31 December 1984,"405,459.85 km"
65.23% Visible,Moon phase details at 1 January 1985,"404,660.95 km"
73.99% Visible,Moon phase details at 2 January 1985,"402,889.53 km"
82.01% Visible,Moon phase details at 3 January 1985,"400,211.35 km"
